"APPENDIX A: Table A-16. Annual Fisher Quantity Indexes, Major Export Classes (1913=100)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
YEAR,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
1907,118.2,107.6,121.8,121.2,122.5,117.4,120.4,115.4,105.3,101.0,90.6,89.3,62.6,62.2,62.5,79.7,79.3,91.2,82.1,81.3,60.0,62.6
1908,98.3,91.6,114.6,114.0,110.2,106.0,108.5,104.3,101.6,97.4,93.1,91.3,64.5,56.2,56.4,82.2,81.6,89.7,79.0,78.4,57.0,59.8
1909,65.1,68.0,94.3,94.1,83.9,83.4,83.4,83.0,85.0,83.7,83.8,83.5,69.8,60.5,60.7,78.8,78.8,80.2,74.0,73.7,60.5,64.1
1910,55.1,59.3,73.6,73.6,67.1,67.7,67.2,67.9,75.0,76.2,79.8,79.4,77.0,68.9,69.0,78.9,78.6,75.2,73.1,73.1,68.8,71.7
1911,68.5,71.8,103.2,102.7,91.5,90.7,90.7,89.9,95.0,94.4,97.2,96.2,89.7,84.1,84.0,94.4,93.9,92.9,90.1,90.0,84.1,85.9
1912,79.4,82.3,97.8,97.6,91.7,91.7,91.1,91.2,107.6,106.1,117.1,115.3,97.9,95.6,95.5,109.9,109.1,103.6,101.1,101.1,94.1,95.5
,,,,,,,,,,,,,,,,,,,,,,
1913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1914,140.0,121.0,93.0,93.3,111.3,106.5,110.4,105.9,86.7,85.7,74.8,74.9,87.4,85.9,86.0,78.8,78.7,86.4,86.6,86.6,85.2,86.0
1915,200.6,170.3,160.5,159.6,178.5,167.0,176.6,165.3,131.3,125.0,104.1,103.1,111.7,164.2,163.6,105.3,104.9,122.9,135.4,135.7,141.5,139.0
1916,168.6,150.8,164.8,164.9,168.4,159.8,166.9,159.0,117.9,114.4,89.4,90.9,155.8,252.7,252.0,112.1,112.2,125.9,162.6,163.3,231.8,205.6
1917,134.5,111.9,147.0,148.9,144.4,132.1,143.1,132.6,88.6,86.8,64.9,64.4,168.5,224.8,225.0,99.8,97.8,109.0,141.3,142.2,231.5,196.3
1918,132.9,119.7,203.9,207.8,180.8,167.5,178.6,168.5,96.4,92.3,54.1,57.0,129.5,151.6,153.4,78.2,78.9,104.9,118.8,119.7,160.7,140.3
1919,156.9,162.2,257.6,262.6,222.9,215.6,222.0,218.3,134.6,132.1,79.1,86.7,126.4,177.5,179.9,94.2,98.7,131.1,145.4,146.6,155.3,152.2
1920,192.2,161.5,161.2,166.7,174.5,163.4,173.6,166.1,110.1,107.4,83.5,84.8,120.8,200.2,202.2,95.4,95.6,116.3,140.4,141.8,187.2,169.7
1921,252.8,201.0,153.9,156.0,195.4,182.1,190.9,179.8,119.6,111.3,78.4,81.3,72.2,124.5,125.6,76.3,78.9,107.4,112.4,113.4,117.5,105.4
1922,210.6,167.2,148.5,151.7,174.1,161.0,170.9,160.4,108.5,104.2,70.8,72.7,81.8,118.0,119.5,74.8,75.9,99.8,105.5,106.8,105.9,100.9
1923,116.9,114.2,144.1,147.7,136.7,132.6,134.5,133.0,91.7,91.2,70.1,73.0,95.8,136.6,138.0,78.4,80.0,94.5,107.0,108.2,132.2,121.0
