"Appendix C: Table C-3. Annual Fisher Quantity Indexes, Selected Minor Export Classes (1913=100)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1906,88.2,46.2,109.2,73.5,61.8,48.4,,84.9,54.9,61.7,10.1,75.3,70.4,
1907,70.8,60.3,89.9,87.9,63.8,53.2,,32.5,59.1,67.4,13.4,80.1,78.9,
1908,59.3,55.5,94.1,60.0,75.3,68.5,,27.3,46.0,53.6,11.0,77.1,74.1,
1909,83.2,58.5,92.3,76.8,76.8,71.4,,40.3,54.1,51.4,17.9,88.2,77.1,
1910,90.8,64.0,90.5,84.7,74.3,75.0,,54.5,65.7,65.2,27.1,88.6,83.3,
1911,98.8,79.9,103.0,90.7,88.0,85.4,,86.6,83.4,79.9,47.8,105.3,89.4,
1912,105.5,83.1,95.0,124.8,93.7,84.3,,130.1,94.6,91.5,80.7,103.7,99.7,
1913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
1914,104.7,81.7,66.8,133.6,97.9,101.5,100.5,64.2,69.9,67.9,121.3,106.8,98.5,
1915,133.4,90.7,76.4,195.9,102.1,101.5,437.8,169.1,142.8,97.5,431.1,213.0,539.5,
1916,205.1,103.8,81.4,220.1,107.6,134.1,1171.0,340.5,224.9,139.7,499.7,349.0,1615.6,
1917,181.1,121.6,82.0,232.5,107.1,168.5,677.8,374.1,188.0,152.3,483.6,373.0,1416.0,
1918,206.8,109.8,97.1,228.2,111.2,96.4,160.5,352.1,117.1,125.6,356.7,287.3,568.7,
1919,308.2,102.0,118.9,143.7,121.4,68.7,181.9,237.4,133.5,167.3,470.0,293.0,211.1,
1920,200.6,172.2,169.9,200.2,158.6,75.8,213.1,752.3,143.6,180.3,820.4,347.2,261.3,
1921,107.8,110.5,191.6,174.2,126.2,64.8,155.3,102.1,93.2,130.7,249.6,137.3,111.8,
1922,122.4,60.2,185.6,159.2,141.8,77.0,112.7,90.9,71.5,87.2,375.6,150.1,136.9,
1923,109.5,107.4,290.4,252.2,168.4,86.4,128.9,89.9,76.5,101.3,681.7,180.3,156.0,
